Name,Stance on crypto,Role,State,Party
Cynthia Lummis,Strongly Supportive,Senator,Wyoming,Republican
Tom Emmer Jr.,Strongly Supportive,Congressperson,Minnesota,Republican
Kirsten Gillibrand,Strongly Supportive,Senator,New York,Democratic
Ritchie Torres,Strongly Supportive,Congressperson,New York,Democratic
Donald Trump,Strongly Supportive,President,-,Republican
Elizabeth Warren,Strongly against,Senator,Massachusetts,Democratic
Brad Sherman,Strongly against,Congressperson,California,Democratic
Stephen Lynch,Strongly against,Congressperson,Massachusetts,Democratic
Lindsey Graham,Strongly Supportive,Senator,South Carolina,Republican
Roger Marshall,Strongly Supportive,Senator,Kansas,Republican
Mark Warner,Strongly Supportive,Senator,Virginia,Democratic
Don Beyer Jr.,Strongly against,Congressperson,Virginia,Democratic
Greg Abbott,Not Calculated,Governor,Texas,Republican
Robert Aderholt,Strongly Supportive,Congressperson,Alabama,Republican
Mark Alford,Strongly Supportive,Congressperson,Missouri,Republican
Rick Allen,Strongly Supportive,Congressperson,Georgia,Republican
Mark Amodei,Strongly Supportive,Congressperson,Nevada,Republican
Kelly Armstrong,Strongly Supportive,Political Figure,North Dakota,Republican
Jodey Arrington,Strongly Supportive,Congressperson,Texas,Republican
Brian Babin,Strongly Supportive,Congressperson,Texas,Republican
Don Bacon,Strongly Supportive,Congressperson,Nebraska,Republican
Jim Baird DR.,Strongly Supportive,Congressperson,Indiana,Republican
Troy Balderson,Strongly Supportive,Congressperson,Ohio,Republican
Jim Banks,Strongly Supportive,Senator,Indiana,Republican
Andy Barr,Strongly Supportive,Congressperson,Kentucky,Republican
John Barrasso,Strongly Supportive,Senator,Wyoming,Republican
Thomas Barrett,Strongly Supportive,Congressperson,Michigan,Republican
Aaron Bean,Strongly Supportive,Congressperson,Florida,Republican
Nick Begich III,Strongly Supportive,Congressperson,Alaska,Republican
Cliff Bentz,Strongly Supportive,Congressperson,Oregon,Republican
Jack Bergman,Strongly Supportive,Congressperson,Michigan,Republican
Stephanie Bice,Strongly Supportive,Congressperson,Oklahoma,Republican
Sheri Biggs,Strongly Supportive,Congressperson,South Carolina,Republican
Gus Bilirakis,Strongly Supportive,Congressperson,Florida,Republican
Marsha Blackburn,Strongly Supportive,Senator,Tennessee,Republican
Lauren Boebert,Strongly Supportive,Congressperson,Colorado,Republican
Mike Bost,Strongly Supportive,Congressperson,Illinois,Republican
Brendan Boyle,Strongly Supportive,Congressperson,Pennsylvania,Democratic
Mike Braun,Not Calculated,Governor,Indiana,Republican
Josh Brecheen,Strongly Supportive,Congressperson,Oklahoma,Republican
Katie Britt,Strongly Supportive,Senator,Alabama,Republican
Vern Buchanan,Strongly Supportive,Congressperson,Florida,Republican
Ted Budd,Strongly Supportive,Senator,North Carolina,Republican
Tim Burchett,Strongly Supportive,Congressperson,Tennessee,Republican
Janelle Bynum,Strongly Supportive,Congressperson,Oregon,Democratic
Ken Calvert,Strongly Supportive,Congressperson,California,Republican
Kat Cammack,Strongly Supportive,Congressperson,Florida,Republican
Shelley Capito,Strongly Supportive,Senator,West Virginia,Republican
